clean_path,ClassId,split,track_id,Width,Height
clean/gtsrb/train/00000/00000_00000.png,0,train,0_00000,29,30
clean/gtsrb/train/00000/00000_00001.png,0,train,0_00000,30,30
clean/gtsrb/train/00000/00000_00002.png,0,train,0_00000,30,30
clean/gtsrb/train/00000/00000_00003.png,0,train,0_00000,31,31
clean/gtsrb/train/00000/00000_00004.png,0,train,0_00000,30,32
clean/gtsrb/train/00000/00000_00005.png,0,train,0_00000,31,31
clean/gtsrb/train/00000/00000_00006.png,0,train,0_00000,33,34
clean/gtsrb/train/00000/00000_00007.png,0,train,0_00000,34,35
clean/gtsrb/train/00000/00000_00008.png,0,train,0_00000,33,34
clean/gtsrb/train/00000/00000_00009.png,0,train,0_00000,36,36
clean/gtsrb/train/00000/00000_00010.png,0,train,0_00000,35,36
clean/gtsrb/train/00000/00000_00011.png,0,train,0_00000,37,38
clean/gtsrb/train/00000/00000_00012.png,0,train,0_00000,37,38
clean/gtsrb/train/00000/00000_00013.png,0,train,0_00000,40,39
clean/gtsrb/train/00000/00000_00014.png,0,train,0_00000,41,42
clean/gtsrb/train/00000/00000_00015.png,0,train,0_00000,44,44
clean/gtsrb/train/00000/00000_00016.png,0,train,0_00000,46,44
clean/gtsrb/train/00000/00000_00017.png,0,train,0_00000,47,48
clean/gtsrb/train/00000/00000_00018.png,0,train,0_00000,50,48
clean/gtsrb/train/00000/00000_00019.png,0,train,0_00000,53,51
clean/gtsrb/train/00000/00000_00020.png,0,train,0_00000,57,54
clean/gtsrb/train/00000/00000_00021.png,0,train,0_00000,59,58
clean/gtsrb/train/00000/00000_00022.png,0,train,0_00000,63,61
clean/gtsrb/train/00000/00000_00023.png,0,train,0_00000,70,70
clean/gtsrb/train/00000/00000_00024.png,0,train,0_00000,76,76
clean/gtsrb/train/00000/00000_00025.png,0,train,0_00000,85,86
clean/gtsrb/train/00000/00000_00026.png,0,train,0_00000,97,97
clean/gtsrb/train/00000/00000_00027.png,0,train,0_00000,108,110
clean/gtsrb/train/00000/00000_00028.png,0,train,0_00000,124,127
clean/gtsrb/train/00000/00000_00029.png,0,train,0_00000,144,148
clean/gtsrb/train/00000/00001_00000.png,0,train,0_00001,29,30
clean/gtsrb/train/00000/00001_00001.png,0,train,0_00001,30,30
clean/gtsrb/train/00000/00001_00002.png,0,train,0_00001,30,29
clean/gtsrb/train/00000/00001_00003.png,0,train,0_00001,31,31
